WKT,t50_fid,grp_ascii,grp_name,name_ascii,macronated,name,grp_macron
"POLYGON ((3499629.93857554 5139358.3063082,3499641.7484373 5139436.75052396,3499648.74016484 5139441.0841575,3499673.09611142 5139328.75310128,3499668.27550936 5139298.75320905,3499629.93857554 5139358.3063082))",5454406,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3507658.13052262 5145059.81889379,3507647.03714263 5145065.86960948,3507645.02055357 5145070.91200919,3507633.42316372 5145071.41633024,3507628.88477572 5145075.95443501,3507629.38938371 5145080.49253046,3507636.4483921 5145088.05581136,3507646.53318968 5145091.08129028,3507660.65177939 5145091.58556376,3507674.26577136 5145093.09813737,3507683.84595162 5145086.54312488,3507683.8459423 5145081.50072891,3507682.83792631 5145072.42453802,3507677.29091486 5145063.85265512,3507667.20671541 5145059.818877,3507658.13052262 5145059.81889379))",5454494,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3507522.74564037 5144970.71869041,3507513.82448399 5144976.95082694,3507509.41473574 5144989.51115007,3507508.46353452 5145001.95641689,3507512.98102751 5145013.61784922,3507521.83380368 5145018.0522043,3507532.60498358 5145011.81796435,3507537.90461455 5145003.81208594,3507538.78120049 5144996.58906508,3507541.49774352 5144980.47517292,3507530.78900896 5144970.70960053,3507522.74564037 5144970.71869041))",5454493,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3507212.82377724 5144573.87553065,3507209.219005 5144587.32370159,3507216.38871903 5144597.98237981,3507225.2428487 5144604.30598338,3507243.26030331 5144601.02200266,3507255.55503311 5144595.3843094,3507254.65853887 5144584.60771966,3507250.22918253 5144579.27928211,3507239.52713262 5144574.73550554,3507223.52079372 5144573.86396086,3507212.82377724 5144573.87553065))",5454492,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3507368.59338681 5144402.7382039,3507368.59341439 5144417.64144201,3507374.55473487 5144431.26727011,3507384.77424488 5144441.06074338,3507405.21293653 5144445.31860217,3507413.21092697 5144443.58391375,3507420.28656805 5144441.79830208,3507426.55392819 5144436.45806974,3507423.32358376 5144424.5729852,3507421.22387104 5144416.79767029,3507401.58766673 5144406.04189021,3507389.99130108 5144392.61062238,3507373.09875959 5144389.96263075,3507368.59338681 5144402.7382039))",5454491,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3506790.72524946 5144337.24580077,3506775.21107615 5144345.00292331,3506768.10050214 5144355.9925277,3506764.86831548 5144361.81012904,3506765.51454608 5144378.61731444,3506777.79656026 5144391.54608139,3506795.25056555 5144401.88884082,3506806.2395652 5144406.41401687,3506812.05776177 5144407.06020558,3506821.7537469 5144403.18179072,3506834.03630961 5144388.31377985,3506843.08606413 5144367.6278796,3506841.14685011 5144359.22428989,3506832.09705251 5144356.63860871,3506821.10746124 5144356.63862905,3506813.35005304 5144348.8815496,3506802.36105219 5144343.71017407,3506790.72524946 5144337.24580077))",5454490,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3506717.14973632 5144312.09373205,3506706.16014505 5144312.0937524,3506699.04956505 5144319.85085938,3506696.46418267 5144328.25445746,3506696.46420301 5144339.2437487,3506700.34261071 5144345.06163687,3506707.45321703 5144351.52601855,3506715.85681514 5144354.11170093,3506725.6192675 5144359.5688285,3506739.1284182 5144365.74744856,3506751.41041324 5144368.33312376,3506756.58179716 5144361.86871934,3506756.58177921 5144352.17242708,3506750.76417187 5144345.70804301,3506743.00677084 5144341.82936046,3506735.24996504 5144335.36527998,3506730.97300028 5144325.56392072,3506725.55333803 5144316.61861289,3506717.14973632 5144312.09373205))",5454489,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3506787.14177784 5144270.01691104,3506779.38439118 5144273.8956223,3506780.03120503 5144281.65271492,3506774.8592211 5144288.11711933,3506767.10244043 5144295.22772803,3506761.93106489 5144306.21702883,3506762.57727873 5144313.97412145,3506764.51649514 5144323.67071012,3506774.21309821 5144329.48858753,3506781.97048846 5144327.54937471,3506787.14187717 5144323.67066823,3506794.25245717 5144315.91356126,3506800.71683528 5144306.86345651,3506800.71681613 5144296.52066476,3506798.77759612 5144284.88487763,3506796.19158262 5144276.48128913,3506787.14177784 5144270.01691104))",5454488,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3507066.59931254 5144165.53337702,3507059.05911853 5144165.53339098,3507046.87793034 5144166.6935126,3507045.13793709 5144169.59361351,3507044.55775259 5144177.71430811,3507045.1379736 5144189.31529778,3507053.25838218 5144197.43597628,3507061.95958279 5144201.49615693,3507071.23978294 5144205.55663652,3507082.84078339 5144210.77691088,3507096.18177817 5144213.67698387,3507106.62296988 5144213.67696455,3507121.70394825 5144208.45664079,3507122.28413276 5144200.3359462,3507122.28411987 5144193.37535175,3507117.06351114 5144186.41476696,3507110.68310761 5144181.77438247,3507096.76191007 5144177.13431194,3507085.74110916 5144171.9137365,3507075.88010732 5144166.69345892,3507066.59931254 5144165.53337702))",5454487,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3507044.55775138 5144055.51593055,3507032.37657715 5144064.21684616,3507024.83579817 5144072.33755364,3507024.83581857 5144083.35834485,3507024.83583468 5144092.05893792,3507034.69683973 5144099.01951412,3507042.81723329 5144099.01949908,3507050.9382204 5144095.53918683,3507060.7985911 5144083.93817782,3507068.91956211 5144071.7572725,3507070.6595414 5144061.31637761,3507060.79853849 5144055.51590049,3507044.55775138 5144055.51593055))",5454486,Chatham Islands,Chatham Islands,,N,,N
